time_s,max_queue_bytes
0.112146,329988
0.112154,325876
0.112162,321264
0.11217,319208
0.112178,303138
0.112186,273826
0.112194,254294
0.112202,288596
0.112211,303516
0.112219,300432
0.112227,301732
0.112235,300704
0.112243,291452
0.112251,261640
0.112259,232328
0.112267,191208
0.112275,151494
0.112283,108968
0.112292,105884
0.1123,105884
0.112308,87380
0.112316,60002
0.112324,79156
0.112332,104856
0.11234,130556
0.112348,157284
0.112356,179600
0.112364,201188
0.112372,224104
0.112381,246720
0.112389,270742
0.112397,292330
0.112405,311712
0.112413,323548
0.112421,316352
0.112429,295792
0.112437,354660
0.112445,355688
0.112453,337562
0.112462,307250
0.11247,274354
0.112478,241080
0.112486,210740
0.112494,195748
0.112502,213652
0.11251,179728
0.112518,118220
0.112526,169120
0.112534,178872
0.112542,181956
0.112551,180928
0.112559,179900
0.112567,134668
0.112575,63736
0.112583,1028
0.112591,1028
0.112599,1028
0.112607,1028
0.112615,1028
0.112623,1028
0.112632,1028
0.11264,58596
0.112648,91492
0.112656,94576
0.112664,38036
0.112672,1028
0.11268,1028
0.112688,1028
0.112696,21588
0.112704,50372
0.112713,80184
0.112721,95604
0.112729,82240
0.112737,62708
0.112745,42148
0.112753,40092
0.112761,46260
0.112769,40092
0.112777,31218
0.112785,56540
0.112793,61680
0.112802,60652
0.11281,14392
0.112818,1028
0.112826,1028
0.112834,1028
0.112842,1028
0.11285,1028
0.112858,1028
0.112866,1028
0.112874,1028
0.112883,1028
0.112891,58596
0.112899,138380
0.112907,150716
0.112915,162424
0.112923,174760
0.112931,181956
0.112939,165508
0.112947,182984
0.112955,167564
0.112963,115136
0.112972,63736
0.11298,7196
0.112988,1028
0.112996,1028
0.113004,1028
0.113012,1028
0.11302,1028
0.113028,1028
0.113036,1028
0.113044,1028
0.113053,1028
0.113061,1028
0.113069,1028
0.113077,9252
0.113085,17476
0.113093,9252
0.113101,1028
0.113109,1028
0.113117,1028
0.113125,1028
0.113134,1028
0.113142,1028
0.11315,1028
0.113158,1028
0.113166,1028
0.113174,1028
0.113182,1028
0.11319,11308
0.113198,43176
0.113206,72588
0.113214,124388
0.113223,225132
0.113231,326904
0.113239,399892
0.113247,399892
0.113255,399892
0.113263,399892
0.113271,399892
0.113279,399242
0.113287,399242
0.113295,399242
0.113304,399892
0.113312,399892
0.11332,399870
0.113328,399870
0.113336,399870
0.113344,399870
0.113352,399892
0.11336,399892
0.113368,399892
0.113376,399892
0.113384,399892
0.113393,399892
0.113401,399892
0.113409,399892
0.113417,399892
0.113425,399892
0.113433,399892
0.113441,399892
0.113449,399892
0.113457,399892
0.113465,399892
0.113474,399892
0.113482,399892
0.11349,397836
0.113498,399892
0.113506,399892
0.113514,399892
0.113522,399892
0.11353,364940
0.113538,298120
0.113546,219592
0.113554,141464
0.113563,62308
0.113571,71960
0.113579,71960
0.113587,21588
0.113595,1028
0.113603,1028
0.113611,1028
0.113619,1028
0.113627,1028
0.113635,1028
0.113644,1028
0.113652,9252
0.11366,32896
0.113668,54484
0.113676,83268
0.113684,90464
0.113692,62708
0.1137,45232
0.113708,68876
0.113716,70932
0.113725,94576
0.113733,118220
0.113741,142892
0.113749,167564
0.113757,215230
0.113765,295036
0.113773,315596
0.113781,338212
0.113789,358772
0.113797,381388
0.113805,399492
0.113814,399492
0.113822,399492
0.11383,399892
0.113838,399892
0.113846,399892
0.113854,399492
0.113862,399492
0.11387,399892
0.113878,399892
0.113886,399892
0.113895,399892
0.113903,399892
0.113911,399892
0.113919,399892
0.113927,399892
0.113935,399292
0.113943,381816
0.113951,356716
0.113959,395780
0.113967,399892
0.113975,399892
0.113984,399892
0.113992,399892
